,Name,Year,Price,Cl,Country,Category,Region,ID
113,Clos du Jaugeuyron Margaux 2016,2016,73.9,75 cl,France,Red wine, Bordeaux,1290701
114,Dalmore Cigar Malt Reserve,Non-Vintage,119.56,70 cl,Scotland,Liquor, Highland,1161601
115,Fernet Branca,Non-Vintage,163.47,300 cl,Italy,Liquor,not found,1230707
116,Von Buhl Forster Kirchenstück Riesling GG 2019,2019,86.95,75 cl,Germany,White wine, Pfalz,1292801
117,Husets rødvin 2017,2017,126.09,1000 cl,Italy,Red wine, Veneto,1456406
118,Cant. Privata Bocchino Riserva 12 Anni,Non-Vintage,95.57,70 cl,Italy,Liquor,not found,1497101
119,Dom. Tariquet 8 ans Bas Armagnac Folle Blanche,Non-Vintage,69.56,70 cl,France,Liquor, Armagnac,1562401
120,Fleury Sonate No9 Extra Brut 2012,2012,76.96,75 cl,France,Sparkling wine, Champagne,1504501
121,Clos de l Obac Miserere Priorat 2010,2010,79.35,75 cl,Spain,Red wine, Catalonia,1979101
122,Perrin Gigondas Dom. du Clos des Tourelles 2019,2019,69.56,75 cl,France,Red wine,Rhône,2262501
123,Hine Rare V.S.O.P.,Non-Vintage,69.56,70 cl,France,Liquor, Cognac Tradisjonell,647901
124,Isole e Olena Cepparello 2017,2017,142.78,150 cl,Italy,Red wine, Toscana,690705
125,Kavalan Solist Vinho Barrique Cask Strength,Non-Vintage,156.51,70 cl,Taiwan,Liquor,not found,713701
126,Bache-Gabrielsen X.O. Fine Champagne,Non-Vintage,134.7,150 cl,France,Liquor, Cognac Tradisjonell,659005
127,Bache-Gabrielsen X.O. Fine Champagne,Non-Vintage,212.96,300 cl,France,Liquor, Cognac Tradisjonell,659007
128,Warre's Vintage Port 1994,1994,104.35,75 cl,Portugal,Port wine, Douro e Porto,806701
129,Husets hvitvin 2017,2017,121.73,1000 cl,Italy,White wine, Veneto,744306
130,Castillo Ygay Gran Reserva Especial 2011,2011,169.57,75 cl,Spain,Red wine, Rioja,773101
131,Rivetto Barolo Briccolina 2013,2013,119.99,75 cl,Italy,Red wine, Piemonte,839601
132,Baron Gaston Legrand Bas Armagnac 1982,1982,86.87,70 cl,France,Liquor, Armagnac,876701
133,Louis Roederer Collection,Non-Vintage,93.03,150 cl,France,Sparkling wine, Champagne,822705
134,Régnard Meursault Terres Blanches 2020,2020,69.56,75 cl,France,White wine, Burgund,900001
135,Montecillo Gran Reserva Selección Especial 1994,1994,173.9,150 cl,Spain,Red wine, Rioja,875805
136,Maxime Trijol Extra Grand Champagne,Non-Vintage,147.83,70 cl,France,Liquor, Cognac Tradisjonell,858601
137,Bichot Meursault Premier Cru Les Charmes 2018,2018,69.56,75 cl,France,White wine, Burgund,1030301
138,Soerlie XO Grande Champagne,Non-Vintage,66.87,70 cl,France,Liquor, Cognac Tradisjonell,1143701
139,Don Julio Anejo,Non-Vintage,67.82,70 cl,Mexico,Liquor, Øvrige,1195101
140,Jean Fillioux TV Cognac Grande Champagne,Non-Vintage,78.06,70 cl,France,Liquor, Cognac Brut,1157801
141,Marc Morey Chassagne-Montrachet 1er Cru Les Chenevottes 2018,2018,86.94,75 cl,France,White wine, Burgund,1250101
142,Castellare di Castellina I Sodi di S. Niccolo,Non-Vintage,79.57,75 cl,Italy,Red wine, Toscana,1279401
143,Jean Bourdy Château-Chalon 2014,2014,65.22,62 cl,France,White wine, Jura,1462801
144,Bushmills 21 YO,Non-Vintage,158.95,70 cl,Ireland,Liquor, Øvrige,1416701
145,Carlo Bocchino Riserva,Non-Vintage,128.26,70 cl,Italy,Liquor,not found,1496401
146,Nervi Jefferson Spumante Rosato 2017,2017,80.85,75 cl,Italy,Sparkling wine, Øvrige,1517501
147,Moutard 6 Cepages 2010,2010,73.95,75 cl,France,Sparkling wine, Champagne,129101
148,Castell'in Villa Poggio delle Rose Riserva 2009,2009,78.25,75 cl,Italy,Red wine, Toscana,186101
149,Castell'in Villa Poggio delle Rose Riserva 2009,2009,156.51,150 cl,Italy,Red wine, Toscana,186105
150,Ron Zacapa Xo,Non-Vintage,105.21,70 cl,Guatemala,Liquor,not found,246001
151,Glengoyne 12 YO,Non-Vintage,71.3,70 cl,Scotland,Liquor, Highland,279601
152,Bellavista Franciacorta Vittorio Moretti 2013,2013,84.78,75 cl,Italy,Sparkling wine, Lombardia,1657301
153,Compass Box Hedonism,Non-Vintage,97.22,70 cl,Scotland,Liquor, Øvrige,1686401
