,user,red_wine,white_wine,sparkling_wine,rose_wine,content
125,MothershipSG,0,0,0,0,"S'porean dies after being hit by Porsche in Taiwan, driver reportedly had 'a few glasses of red wine' https://t.co/gmISZDgws7 https://t.co/gh2F7STzrN"
126,A19980306,0,0,0,0,"Wine red teen wolf parker

#アメカジ

#アメカジ好きな人と繋がりたい

#メンズファッション

https://t.co/GMDzmHQEZy"
127,Winehouseportu1,1,0,0,0,Red wine from Quinta da Alorna made from the Touriga Nacional grape variety in the region of Ribatejohttps://winehouseportugal.com/ribatejo-wines/1490-quinta-da-alorna-touriga-nacional-2014-red-wine-5601766200229.htmlQuinta da Alorna Touriga Nacional 2014 Red Wine#winehouseportug https://t.co/gXxnO8Uin7
128,TPOWBaslow,1,0,0,0,"A roaring fire 🔥, a glass of red wine 🍷, and succulent pork belly 🐖 are perfect for keeping out the cold this bonfire night. 

#TPOWBaslow #PorkBelly #RedWine #HouseOfTownend #WineOclock #Family #Friends #DineOut https://t.co/QyUTDsztpq"
129,florenceKdesign,1,0,0,0,Floral QR Code Glitter Borders Red Wine https://t.co/2bfXromt19 via @zazzle
130,asdfghjkmsIna,0,0,0,0,blood is red and sweet as cherry wine
131,CarlanEspenlaub,1,0,0,0,"@matthewdmarsden I do like my coffee 3 times every day I am feeling well.  On those other days, well, let’s just say I don’t want much of anything.  I like tea, beer, whiskey, red wine, brandy, cider, and water.  However, I do miss my old friends and smoking a good cigar while drinking them."
132,waitrose,1,0,0,0,"@TomPoppy3 Hi, I've checked out some of our top rated red wine as rated by our customers here on our website: https://t.co/sZgD2D6giN I hope this helps. You can also read reviews on each wine on each product page. If you'd like any more help please let me know. ^David"
133,PaulaStaal,1,1,0,0,"Trying out a white wine. #Pitchfork #SSB #Cheers Wish me luck!! 
Normally a red wine / beer / cocktails drinker. 😜 https://t.co/hVcKHI9DRL"
134,Roodeberg_Wine,0,0,0,0,"This season, we are Making Roodeberg Classic Rosé our summer muse.​

How do we pair it? With a delicious Red Velvet Layer Cake with Cream Cheese Frosting from @The_FoodFox kitchen. Yum! ​

Follow the link to see the full recipe:​
 https://t.co/zx9LH582mJ 

#RoodebergWine https://t.co/dfSAEodYb0"
